customer_id,customer_name,email,country,segment,signup_date,monthly_revenue,seats,status
C1087,Yuki Walsh,yuki.walsh@bluefin.de,U.K.,enterprise,2024-10-26,EUR 630.16,25,trial
C1192,"Romano, Ines",INES.ROMANO@HEXON.CO.UK,netherlands,Enterprise,2024-07-21,-120.00,1,Churned
C1176,"Romano, Ines",ines.romano@hexon.co.uk,netherlands,Enterprise,2024-07-21,-120.00,1,Churned
C1053,Lucia Ibrahim,lucia.ibrahim @ acme-parts.com,BE,Small Business,02/04/2025,EUR 328.95,40,Active
C1071,Elena Lindqvist,elena.lindqvist@acme-parts.com,Netherlands,Small Business,"May 27, 2025",179.08,25,trial
C1054,Diego Ferreira,diego.ferreira@kestrel-logistics.nl,FR,Small Business,"May 31, 2025",65.10,5,churned
C1004,Diego Novotny,diego.novotny@verta.fr,BE,MM,2024-11-17,64.68,1,Paused
C1188,Hassan Moreno ,hassan_moreno@acme-parts.com,netherlands,smb,09/02/2025,104.02,12,active
C1099,Sofia Costa,sofia.costa@kestrel-logistics.nl,Germany,SMB,"Oct 05, 2025",61.06,12,Paused
C1038,Hassan Vasquez,hassan.vasquez@verta.fr,United Kingdom,smb,2024-07-21,"113,64",40,churned
C1114,Marcus Duarte,marcus.duarte@hexon.co.uk,Germany,Mid-Market,"Oct 23, 2024",92.08,-3,Active
C1098,Diego Okafor,,Netherlands,Mid-Market,2025-06-23,102.80 EUR,5,active
C1081,Marcus Walsh,marcus.walsh@kestrel-logistics.nl,DE,enterprise,2025-05-20,121.50,8,active
C1143,Marcus Vasquez,marcus.vasquez@northwind.io,germany,Mid-Market,06/01/2025,138.60,40,Churned
C1083,Yuki Haddad,yuki.haddad@acme-parts.com,FR,ENT,2024-01-14,626.28,1,Active
C1125,Liam Sokolov,,France,smb,2024-11-22,372.95,8,trial
C1096,Ines Vasquez,ines.vasquez@northwind.io,netherlands,SMB,2024-06-01,176.64,2,active
C1023,"Duarte, Felix",felix.duarte@kestrel-logistics.nl,Germany,Enterprise,2024-03-26,EUR 642.77,1,Churned
C1051,  KAREL DUARTE  ,karel.duarte@verta.fr,UK,Mid-Market,13/06/2024,660.26,25,Trial
C1006,"Weber, Owen",owen.weber@bluefin.de,Germany,Enterprise,2024-08-24,-120.00,25,Trial
C1066,Hassan Novotny,hassan.novotny@hexon.co.uk,Netherlands,Enterprise,"Aug 11, 2025",,40,Paused
C1074,"Romano, Owen",owen.romano@verta.fr,DE,Mid-Market,2025-09-20,EUR 278.29,12,churned
C1164,Bruno Petrova,bruno.petrova@verta.fr,Belgium,Mid-Market,2024-03-13,408.99,40,trial
C1149,"Costa, Tomas",tomas.costa@verta.fr,BE,ENT,29/10/2025,-120.00,40,Trial
C1025,Maya Ibrahim,maya.ibrahim@acme-parts.com,NL,SMB,"Nov 30, 2025",47.36,1,Churned
C1019,"Ferreira, Ines",ines.ferreira@verta.fr,NL,Enterprise,18/01/2024,,25,ACTIVE
C1181,"Costa, Maya",MAYA.COSTA@ACME-PARTS.COM,FR,Small Business,2024-04-17,190.41,8,Paused
C1136,Noor Petrova,noor.petrova@kestrel-logistics.nl,United Kingdom,smb,08/07/2025,370.68,2,active
C1120,Felix Romano,felix.romano@northwind.io,DE,MM,20/01/2025,500.11,8,Trial
C1122,Ines Petrova,ines.petrova@acme-parts.com,NL,Enterprise,2024-10-31,143.50,40,ACTIVE
C1169,Marcus Petrova,marcus.petrova@hexon.co.uk,Belgium,smb,"Jul 27, 2024",47.46,1,ACTIVE
C1036,Lucia Ferreira,lucia.ferreira @ acme-parts.com,netherlands,ENT,08/02/2024,607.85,5,Active
C1124,Bruno Tanaka,bruno.tanaka@kestrel-logistics.nl,Germany,MM,06/10/2025,1148.79,1,churned
C1084,Karel Sokolov,karel.sokolov@acme-parts.com,Belgium,Small Business,0000-00-00,384.20,3,Active
C1009,Noor Duarte,,Netherlands,ENT,2025-06-24,1318.35,3,Trial
C1118,Sofia Vasquez,sofia.vasquez@verta.fr,Germany,smb,2025-12-29,,25,trial
C1186,"Novotny, Lucia",lucia_novotny@kestrel-logistics.nl,NL,Mid-Market,2024-01-28,"EUR 1,318.71",25,Churned
C1153,Amara Novotny,amara.novotny@northwind.io,FR,Enterprise,2025-04-08,1069.38,3,Active
C1080,Yuki Karim,yuki.karim @ acme-parts.com,BE,MM,"Dec 04, 2024",90.78,12,Churned
C1115,  MARCUS WEBER  ,,United Kingdom,ENT,2024-01-31,1334.30,2,active
C1146,"Romano, Greta",greta.romano@hexon.co.uk,UK,SMB,04/09/2024,45.90,1,Active
C1048,Hassan Tanaka,hassan.tanaka@acme-parts.com,U.K.,Small Business,2024-03-05,1155.33,8,Active
C1015,"Petrova, Tomas",tomas.petrova@acme-parts.com,United Kingdom,Enterprise,2024-03-05,1028.21,5,churned
C1005,Marcus Lindqvist,marcus.lindqvist @ kestrel-logistics.nl,DE,Small Business,2024-04-29,1013.57,40,ACTIVE
C1094,  LIAM HADDAD  ,liam.haddad@acme-parts.com,BE,enterprise,2025-08-28,153.25 EUR,5,Active
C1127,"Nair, Felix",felix.nair@acme-parts.com,France,MM,2025-10-13,,3,churned
C1178,"Novak, Noor",noor.novak@verta.fr,germany,Mid-Market,17/04/2025,273.92,3,ACTIVE
C1016,Felix Petrova,felix.petrova@northwind.io,U.K.,ENT,2025-11-18,66.08 EUR,3,Paused
C1134,Owen Weber,owen.weber@northwind.io,U.K.,ENT,02/03/2024,591.60,8,Active
C1158,Bruno Lindqvist,bruno.lindqvist@northwind.io,France,enterprise,"Feb 04, 2024",1210.88,1,Paused
C1179,Elena Petrova,elena.petrova@verta.fr,germany,smb,2025-05-06,607.88 EUR,25,Trial
C1185,Karel Duarte,karel_duarte@verta.fr,UK,Mid-Market,13/06/2024,660.26,25,Trial
C1076,Karel Karim,karel.karim@northwind.io,FR,ENT,12/03/2025,152.35,2,churned
C1069,Lucia Weber,lucia.weber@northwind.io,France,Enterprise,2024-08-24,496.90,3,Trial
C1114,Marcus Duarte,marcus.duarte@hexon.co.uk,Germany,Mid-Market,"Oct 23, 2024",92.08,-3,Active
C1085,"Ferreira, Noor",noor.ferreira@acme-parts.con,Netherlands,enterprise,2024-09-05,1244.21,40,churned
C1159,Maya Duarte,maya.duarte@bluefin.de,United Kingdom,ENT,2025-01-22,613.67,5,churned
C1020,Liam Ibrahim,liam.ibrahim@acme-parts.com,Germany,ENT,15/11/2024,-120.00,-3,Churned
C1107,Priya Vasquez,priya.vasquez@verta.fr,United Kingdom,enterprise,2025-08-06,402.43,1,trial
C1163,Maya Novotny,maya.novotny@northwind.io,Belgium,enterprise,"Jan 15, 2025",61.56,8,ACTIVE
C1035,Owen Bergman,owen.bergman@acme-parts.com,NL,Mid-Market,"Apr 29, 2025",662.54,3,active
C1191,Amara Duarte ,AMARA.DUARTE @ KESTREL-LOGISTICS.NL,Germany,Small Business,0000-00-00,EUR 640.51,3,Trial
C1132,Owen Novotny,owen.novotny@kestrel-logistics.nl,Belgium,smb,2024-08-20,64.94,1,trial
C1142,Bruno Novak,bruno.novak@verta.fr,UK,Small Business,"May 27, 2025",907.89,25,Trial
C1026,  KAREL NAIR  ,karel.nair@acme-parts.com,BE,ENT,06/11/2025,"64,83",40,Paused
C1091,Liam Novotny,liam.novotny@acme-parts.com,United Kingdom,SMB,19/11/2024,44.92,5,trial
C1065,  KAREL HADDAD  ,karel.haddad@verta.fr,Netherlands,enterprise,2024-01-22,191.41,1,active
C1145,Nadia Tanaka,nadia.tanaka@kestrel-logistics.nl,BE,enterprise,14/03/2025,,8,Active
C1117,Hassan Petrova,hassan.petrova @ bluefin.de,Germany,Enterprise,2024-02-14,-120.00,40,Paused
C1063,Amara Walsh,amara.walsh@northwind.io,netherlands,Small Business,29/09/2025,EUR 44.76,3,ACTIVE
C1027,Marcus Novak,marcus.novak@verta.fr,UK,Small Business,29/10/2025,55.92,5,churned
C1045,Felix Haddad,felix.haddad@kestrel-logistics.nl,Germany,Enterprise,2024-09-23,103.03,8,Churned
C1001,Ines Moreno,ines.moreno@acme-parts.com,NL,Mid-Market,"Feb 29, 2024",EUR 279.54,2,Active
C1003,Felix Walsh,felix.walsh@bluefin.de,UK,ENT,03/07/2024,572.63,2,Trial
C1135,Elena Vasquez,elena.vasquez@bluefin.de,United Kingdom,Enterprise,22/07/2025,559.22,5,churned
C1180,Nadia Tanaka,nadia.tanaka@bluefin.de,France,MM,"Dec 11, 2025",1183.24,8,active
C1042,"Nair, Liam",liam.nair@acme-parts.com,France,enterprise,2025-09-23,156.26,0,Paused
C1049,Marcus Sokolov,marcus.sokolov@bluefin.de,Belgium,Enterprise,07/01/2025,54.74 EUR,12,Active
C1156,Maya Karim,maya.karim@acme-parts.com,netherlands,SMB,17/08/2024,154.14,12,Active
C1130,Amara Karim,amara.karim@verta.fr,netherlands,SMB,2025-12-17,63.07,3,churned
C1082,Liam Lindqvist,liam.lindqvist@bluefin.de,BE,SMB,2024-01-07,676.10,2,Paused
C1128,Diego Moreno,diego.moreno@northwind.io,BE,Mid-Market,22/06/2024,94.77,1,active
C1079,Diego Novotny,diego.novotny@acme-parts.com,France,SMB,2024-09-09,130.72,40,active
C1101,Greta Sokolov,greta.sokolov@acme-parts.com,United Kingdom,Small Business,02/04/2025,EUR 50.07,8,Active
C1157,"Weber, Lucia",lucia.weber@kestrel-logistics.nl,Belgium,Mid-Market,2024-10-02,108.26,1,churned
C1090,Sofia Vasquez,sofia.vasquez@hexon.co.uk,Germany,Enterprise,03/05/2025,48.53,25,Churned
C1058,"Novotny, Diego",diego.novotny @ verta.fr,Germany,Mid-Market,2024-11-07,524.24 EUR,3,Churned
C1043,Lucia Lindqvist,lucia.lindqvist@bluefin.de,France,Small Business,"Jan 09, 2024",508.02,2,ACTIVE
C1093,Sofia Nair,sofia.nair@northwind.io,germany,Enterprise,2025-02-06,"EUR 1,000.75",1,Paused
C1039,Noor Costa,noor.costa@northwind.io,Belgium,SMB,"Feb 27, 2024",90.27,3,Trial
C1086,  LIAM NOVAK  ,liam.novak@acme-parts.com,netherlands,MM,2025-02-02,464.01,3,Trial
C1070,Bruno Ibrahim,bruno.ibrahim@northwind.io,Germany,Mid-Market,2024-04-14,137.80,5,churned
C1100,Sofia Okafor,sofia.okafor@bluefin.de,netherlands,enterprise,"Jul 30, 2025",EUR 597.53,2,Trial
C1048,Hassan Tanaka,hassan.tanaka@acme-parts.com,U.K.,Small Business,2024-03-05,1155.33,8,Active
C1097,  DIEGO IBRAHIM  ,diego.ibrahim@verta.fr,germany,Mid-Market,2024-05-02,208.46,3,churned
C1011,"Ferreira, Hassan",hassan.ferreira@northwind.io,U.K.,enterprise,"Sep 16, 2025",932.97,5,Trial
C1161,"Walsh, Noor",noor.walsh@kestrel-logistics.nl,NL,ENT,19/06/2025,312.53,3,ACTIVE
C1175,Owen Moreno,owen.moreno@kestrel-logistics.nl,germany,SMB,2025-01-03,1323.35,5,active
C1056,Greta Tanaka,greta.tanaka@kestrel-logistics.nl,U.K.,enterprise,2024-09-27,352.10,25,trial
C1031,Noor Novak,noor.novak@kestrel-logistics.nl,germany,Mid-Market,22/03/2025,63.99,5,trial
C1062,"Nair, Maya",maya.nair@northwind.io,netherlands,enterprise,"Aug 29, 2024",132.67,40,Active
C1138,Nadia Haddad,nadia.haddad@kestrel-logistics.nl,Germany,enterprise,2025-11-27,633.04,12,active
C1170,Karel Vasquez,karel.vasquez@verta.fr,Germany,smb,2024-06-11,283.34,8,trial
